,source
p_cutRate,pol_input/suprema/suprema_diets.gms
p_nordicAid_2_5_perLU,policy/nordicaid.gms
p_nordicAid_2_6_ceilingsAnimals,policy/nordicaid.gms
p_nordicAid_2_9_PerHa,policy/nordicaid.gms
p_nordicAid_2_10_ceilingsCrops,policy/nordicaid.gms
p_nordicAidRegionShare,policy/nordicaid.gms
p_crustCover,prep_data_LitRev.gms
p_ShareLiquidInv,prep_data_LitRev.gms
p_ShareLiquidPoulInv,prep_data_LitRev.gms
p_ShareGrazInv,prep_data_LitRev.gms
p_ShareGrazPoulInv,prep_data_LitRev.gms
p_ShareADInv,prep_data_LitRev.gms
p_reducLitRevRaw,prep_data_LitRev.gms
p_reducLitRevNoData,prep_data_LitRev.gms
grapes,report_agmip/sets/CAPRI_AgMIP_sectors_mappings.gms
p_shareAmmAcids,reports/def_cbalance.gms
p_shareFattyAcids,reports/def_cbalance.gms
p_shareCPFA1,reports/def_cbalance.gms
p_carcLive,reports/def_cbalance.gms
p_PPoolSoilOrig,reports/def_cbalance.gms
p_soilbulkdens,reports/def_cbalance.gms
p_refPricesAMS,reports/feoga.gms
p_cap_2013_2020_transfers_dp_rd,scen/Premiums/cap_2013_2020_transfers.gms
p_cap_2013_2020_transfers_rd_dp,scen/Premiums/cap_2013_2020_transfers.gms
p_precomputedRdRates,scen/Premiums/rd/rdse.gms
p_2013_1307_AnnexII,scen/base_scenarios/CAP_2014_2020_pol_editor.gms
p_BPSYF,scen/base_scenarios/CAP_2014_2020_pol_editor.gms
p_BPSRED,scen/base_scenarios/CAP_2014_2020_pol_editor.gms
p_chfatsprot,special_ch/bas_data_ch.gms
p_prices_ch,special_ch/create_final_db_expert_ch.gms
p_demelaCh,special_ch/dem_ela_and_shares_ch2021.gms
p_demSharesCH,special_ch/dem_ela_and_shares_ch2021.gms
p_sugarPric,sugar/price_est.gms
SugData,sugar/techf.gms
p_AllenElasTrans,supply/declare_calibration_models_for_land_supply.gms
a,util/invert1.gms
