region,prod,wrt,value
BL000000,MAIZ,EGGS,-0.00559493588421831
BL000000,MAIZ,POUM,-0.00347146756521437
BL000000,MAIZ,SUGA,-0.00171112840707674
BL000000,MAIZ,OTHO,-0.00191496206284266
BL000000,MAIZ,MILK,-0.00227225997805245
BL000000,MAIZ,INPE,-0.356253378914602
BL000000,OCER,RYEM,-1.66435050315946e-05
BL000000,OCER,BARL,-0.000590481203691274
BL000000,OCER,OATS,-3.04279216174157e-05
BL000000,OCER,MAIZ,-0.00110122886445617
BL000000,OCER,OCER,0.393085262936436
BL000000,OCER,RAPE,-0.00112300098386004
BL000000,OCER,PULS,-0.00027268683875849
BL000000,OCER,POTA,-0.00106082587519517
BL000000,OCER,TEXT,-0.00117215876156309
BL000000,OCER,TOMA,-0.00108104406503056
BL000000,OCER,OVEG,-0.00106109526384593
BL000000,OCER,APPL,-0.00115453555185099
BL000000,OCER,OFRU,-0.00106319605742623
BL000000,OCER,TAGR,-0.00112737469054761
BL000000,OCER,TWIN,-0.00120865519652421
BL000000,OCER,WHEA,-0.00106901883119925
BL000000,OCER,BEEF,-0.001114812772228
BL000000,OCER,PORK,-0.00108512123164125
BL000000,OCER,SGMT,-0.00419576687318404
BL000000,OCER,EGGS,-0.00143585518323898
BL000000,OCER,POUM,-0.00115073784190869
BL000000,OCER,SUGA,-0.00109296547026342
BL000000,OCER,OTHO,-0.00108235184792308
BL000000,OCER,MILK,-0.00107589743223339
BL000000,OCER,INPE,-0.367719380673217
BL000000,RAPE,RYEM,-1.47698133120498e-05
BL000000,RAPE,BARL,-0.000704496976572989
BL000000,RAPE,OATS,-2.7440805720072e-05
BL000000,RAPE,MAIZ,-0.00150170644084795
BL000000,RAPE,OCER,-9.58422070729071e-05
BL000000,RAPE,RAPE,0.39151784208533
BL000000,RAPE,PULS,-2.0024219326716e-05
BL000000,RAPE,POTA,-0.0016783872824064
BL000000,RAPE,TEXT,-0.000744668506299043
BL000000,RAPE,TOMA,-0.00174720698566747
BL000000,RAPE,OVEG,-0.0016807564770274
BL000000,RAPE,APPL,-0.000922331207377127
BL000000,RAPE,OFRU,-0.00169806327856061
BL000000,RAPE,TAGR,-0.000128203324248322
BL000000,RAPE,TWIN,-0.000455260884924711
BL000000,RAPE,WHEA,-0.00169237760207317
BL000000,RAPE,BEEF,-0.00231077483855074
BL000000,RAPE,PORK,-0.00197023267183806
BL000000,RAPE,SGMT,-0.00142937635633578
BL000000,RAPE,EGGS,-0.00492228593872436
BL000000,RAPE,POUM,-0.00271072561323179
BL000000,RAPE,SUGA,-0.00167829485432488
BL000000,RAPE,OTHO,-0.00174331393127031
BL000000,RAPE,MILK,-0.00186321886837303
BL000000,RAPE,INPE,-0.359778083001244
BL000000,PULS,RYEM,-0.000777558723909753
BL000000,PULS,BARL,-0.000985260737919296
BL000000,PULS,OATS,-0.00107451892703402
BL000000,PULS,MAIZ,-0.00096035265012747
BL000000,PULS,OCER,-0.00112326595946706
BL000000,PULS,RAPE,-0.00096648995501854
BL000000,PULS,PULS,0.980215669820277
BL000000,PULS,POTA,-0.000949833842467927
BL000000,PULS,TEXT,-0.000982608557652057
BL000000,PULS,TOMA,-0.000954894501220276
BL000000,PULS,OVEG,-0.000949899986708174
BL000000,PULS,APPL,-0.000976244083692903
BL000000,PULS,OFRU,-0.000950416464012445
BL000000,PULS,TAGR,-0.0010779289078926
BL000000,PULS,TWIN,-0.00100009282314531
BL000000,PULS,WHEA,-0.000951898836995977
BL000000,PULS,BEEF,-0.000962937914515416
BL000000,PULS,PORK,-0.000955724806906489
BL000000,PULS,SGMT,-0.00193831681987256
BL000000,PULS,EGGS,-0.00104137375777463
BL000000,PULS,POUM,-0.00097167135489064
BL000000,PULS,SUGA,-0.000957997701788313
BL000000,PULS,OTHO,-0.000955230333574827
BL000000,PULS,MILK,-0.000953484986558896
BL000000,PULS,INPE,-0.956797667187131
BL000000,POTA,RYEM,-1.12619833414174e-06
BL000000,POTA,BARL,-5.19034069873767e-05
BL000000,POTA,OATS,-2.07432996464848e-06
BL000000,POTA,MAIZ,-0.00022449558716828
BL000000,POTA,OCER,-6.98051660746925e-06
BL000000,POTA,RAPE,-0.000129407358103634
BL000000,POTA,PULS,-1.51730426694856e-06
BL000000,POTA,POTA,0.882110165107504
BL000000,POTA,TEXT,-5.55705122270775e-05
BL000000,POTA,TOMA,-0.00075650007253606
BL000000,POTA,OVEG,-0.00540577836351217
BL000000,POTA,APPL,-7.42761825377176e-05
BL000000,POTA,OFRU,-0.00408453537514216
BL000000,POTA,TAGR,-9.15064695008028e-06
BL000000,POTA,TWIN,-3.17042499781538e-05
BL000000,POTA,WHEA,-0.00118016674196232
BL000000,POTA,BEEF,-0.0112173886337994
BL000000,POTA,PORK,-0.0123842266204524
BL000000,POTA,SGMT,-0.000111541023987405
BL000000,POTA,EGGS,-0.00164671987989322
BL000000,POTA,POUM,-0.00837489948057392
BL000000,POTA,SUGA,-0.000390318794165404
BL000000,POTA,OTHO,-0.000694674284839289
BL000000,POTA,MILK,-0.0121098141267185
BL000000,POTA,INPE,-0.823165395416797
BL000000,TEXT,RYEM,-2.78777082172541e-05
BL000000,TEXT,BARL,-0.00108336658255612
BL000000,TEXT,OATS,-5.21954571844157e-05
BL000000,TEXT,MAIZ,-0.00143246250743345
BL000000,TEXT,OCER,-0.000186798575959781
BL000000,TEXT,RAPE,-0.00139050783560506
BL000000,TEXT,PULS,-3.8014496662528e-05
BL000000,TEXT,POTA,-0.00134582336097887
BL000000,TEXT,TEXT,0.976520294543142
BL000000,TEXT,TOMA,-0.0014358271654273
BL000000,TEXT,OVEG,-0.0013473473837943
BL000000,TEXT,APPL,-0.00124652021745797
BL000000,TEXT,OFRU,-0.00135897951578923
BL000000,TEXT,TAGR,-0.000251824541991174
BL000000,TEXT,TWIN,-0.000802556687350261
BL000000,TEXT,WHEA,-0.00137943566837003
BL000000,TEXT,BEEF,-0.00168471884349856
BL000000,TEXT,PORK,-0.00149982290010485
BL000000,TEXT,SGMT,-0.00253517858983074
BL000000,TEXT,EGGS,-0.00347608689965369
BL000000,TEXT,POUM,-0.00190623582120517
BL000000,TEXT,SUGA,-0.00145969256760705
BL000000,TEXT,OTHO,-0.00143959988442627
BL000000,TEXT,MILK,-0.0014421564235409
BL000000,TEXT,INPE,-0.947697264908497
BL000000,TOMA,RYEM,-4.80008507674593e-06
BL000000,TOMA,BARL,-0.000234894406585741
BL000000,TOMA,OATS,-8.86520581323465e-06
BL000000,TOMA,MAIZ,-0.00092588647134428
BL000000,TOMA,OCER,-3.02172527257502e-05
BL000000,TOMA,RAPE,-0.000572241391410877
BL000000,TOMA,PULS,-6.4796052988318e-06
BL000000,TOMA,POTA,-0.00321349104261337
BL000000,TOMA,TEXT,-0.000251841108847198
BL000000,TOMA,TOMA,0.956436542260687
BL000000,TOMA,OVEG,-0.00320894658886082
BL000000,TOMA,APPL,-0.00033606143045725
BL000000,TOMA,OFRU,-0.00315675033227513
BL000000,TOMA,TAGR,-3.9917933682688e-05
BL000000,TOMA,TWIN,-0.000142532886418743
BL000000,TOMA,WHEA,-0.00241376688986827
BL000000,TOMA,BEEF,-0.00511542467542124
BL000000,TOMA,PORK,-0.0042120522222085
BL000000,TOMA,SGMT,-0.000474750936603276
BL000000,TOMA,EGGS,-0.00519483058998026
BL000000,TOMA,POUM,-0.00595907405770227
BL000000,TOMA,SUGA,-0.00140908908765488
BL000000,TOMA,OTHO,-0.00198663536757219
BL000000,TOMA,MILK,-0.00390453990972207
BL000000,TOMA,INPE,-0.913633452782543
BL000000,OVEG,RYEM,-1.17148142963755e-06
BL000000,OVEG,BARL,-5.4046440042667e-05
BL000000,OVEG,OATS,-2.15781355279492e-06
BL000000,OVEG,MAIZ,-0.000233813213838142
BL000000,OVEG,OCER,-7.26271828107679e-06
BL000000,OVEG,RAPE,-0.000134794740306019
BL000000,OVEG,PULS,-1.57835352030362e-06
BL000000,OVEG,POTA,-0.0056228901298565
BL000000,OVEG,TEXT,-5.78678414218798e-05
BL000000,OVEG,TOMA,-0.000785770519171711
BL000000,OVEG,OVEG,0.885822589736369
BL000000,OVEG,APPL,-7.73559397618983e-05
BL000000,OVEG,OFRU,-0.00414404210414315
BL000000,OVEG,TAGR,-9.52161260828934e-06
BL000000,OVEG,TWIN,-3.30061564079129e-05
BL000000,OVEG,WHEA,-0.00122219916833815
BL000000,OVEG,BEEF,-0.0111643443941826
BL000000,OVEG,PORK,-0.0120939387544829
BL000000,OVEG,SGMT,-0.000116026636571219
BL000000,OVEG,EGGS,-0.00171052881431683
BL000000,OVEG,POUM,-0.0084915705497893
BL000000,OVEG,SUGA,-0.000406230982858492
BL000000,OVEG,OTHO,-0.000721816751792781
BL000000,OVEG,MILK,-0.0117696713677759
BL000000,OVEG,INPE,-0.826960983251918
BL000000,APPL,RYEM,-2.23591595500719e-05
BL000000,APPL,BARL,-0.000964339716910056
BL000000,APPL,OATS,-4.17394842503671e-05
BL000000,APPL,MAIZ,-0.00148816963479671
BL000000,APPL,OCER,-0.000148197025434346
BL000000,APPL,RAPE,-0.00138721063572881
BL000000,APPL,PULS,-3.04209078312296e-05
BL000000,APPL,POTA,-0.00144889959297625
BL000000,APPL,TEXT,-0.00100402466002585
BL000000,APPL,TOMA,-0.00154326059608461
BL000000,APPL,OVEG,-0.00145071138793227
BL000000,APPL,APPL,0.975496732207886
BL000000,APPL,OFRU,-0.00146440889062876
BL000000,APPL,TAGR,-0.000199498676330304
BL000000,APPL,TWIN,-0.000673736642103211
BL000000,APPL,WHEA,-0.00148221826311178
BL000000,APPL,BEEF,-0.00186962047274748
BL000000,APPL,PORK,-0.00164082158819555
BL000000,APPL,SGMT,-0.0020963714380205
BL000000,APPL,EGGS,-0.00396966767235198
BL000000,APPL,POUM,-0.00214247862641023
BL000000,APPL,SUGA,-0.00155083415257329
BL000000,APPL,OTHO,-0.00154592883828895
BL000000,APPL,MILK,-0.00156933571420786
BL000000,APPL,INPE,-0.945762478431396
BL000000,OFRU,RYEM,-1.52609327577602e-06
BL000000,OFRU,BARL,-7.09642014239425e-05
BL000000,OFRU,OATS,-2.81177719963205e-06
BL000000,OFRU,MAIZ,-0.000307091847813256
BL000000,OFRU,OCER,-9.47663585425651e-06
BL000000,OFRU,RAPE,-0.000177344627424392
BL000000,OFRU,PULS,-2.0565362343292e-06
BL000000,OFRU,POTA,-0.00553273713234059
BL000000,OFRU,TEXT,-7.60092807583671e-05
BL000000,OFRU,TOMA,-0.0010066291214576
BL000000,OFRU,OVEG,-0.00539659929702084
BL000000,OFRU,APPL,-0.000101688306887939
BL000000,OFRU,OFRU,0.907286306928142
BL000000,OFRU,TAGR,-1.24345264331056e-05
BL000000,OFRU,TWIN,-4.326953030349e-05
BL000000,OFRU,WHEA,-0.00152529470155171
BL000000,OFRU,BEEF,-0.0104437909728118
BL000000,OFRU,PORK,-0.0101466394961945
BL000000,OFRU,SGMT,-0.000151152329492966
BL000000,OFRU,EGGS,-0.00219841383762822
BL000000,OFRU,POUM,-0.00898629448950606
BL000000,OFRU,SUGA,-0.000529979579028783
BL000000,OFRU,OTHO,-0.000927732712759165
BL000000,OFRU,MILK,-0.00963300517093717
BL000000,OFRU,INPE,-0.850003364723804
BL000000,TAGR,RYEM,-0.000136386182467525
BL000000,TAGR,BARL,-0.00116180946039687
BL000000,TAGR,OATS,-0.000262218203972333
BL000000,TAGR,MAIZ,-0.00106862794747102
BL000000,TAGR,OCER,-0.000822817675833163
BL000000,TAGR,RAPE,-0.00109637203338369
BL000000,TAGR,PULS,-0.000190988417541578
BL000000,TAGR,POTA,-0.00101494771773132
BL000000,TAGR,TEXT,-0.00115331054184537
BL000000,TAGR,TOMA,-0.00104229775951741
BL000000,TAGR,OVEG,-0.00101531550340379
BL000000,TAGR,APPL,-0.00113433981123135
BL000000,TAGR,OFRU,-0.00101817808791294
BL000000,TAGR,TAGR,0.979719363965565
BL000000,TAGR,TWIN,-0.00118288895260299
BL000000,TAGR,WHEA,-0.00102600090477501
BL000000,TAGR,BEEF,-0.00108891274612134
BL000000,TAGR,PORK,-0.00104823498542969
BL000000,TAGR,SGMT,-0.00458930517491913
BL000000,TAGR,EGGS,-0.00152722553420711
BL000000,TAGR,POUM,-0.00113812870958959
BL000000,TAGR,SUGA,-0.00105813588860708
BL000000,TAGR,OTHO,-0.00104404718532212
BL000000,TAGR,MILK,-0.001035622296701
BL000000,TAGR,INPE,-0.953863252244581
BL000000,TWIN,RYEM,-4.3831789129557e-05
BL000000,TWIN,BARL,-0.00123390857668972
BL000000,TWIN,OATS,-8.26851639784541e-05
BL000000,TWIN,MAIZ,-0.0012998278670705
BL000000,TWIN,OCER,-0.000299317376212108
BL000000,TWIN,RAPE,-0.00132103150390418
BL000000,TWIN,PULS,-6.01244886920627e-05
BL000000,TWIN,POTA,-0.00119317330763212
BL000000,TWIN,TEXT,-0.00124714830524104
BL000000,TWIN,TOMA,-0.00126279544305534
BL000000,TWIN,OVEG,-0.00119420706755616
BL000000,TWIN,APPL,-0.00129983281794508
BL000000,TWIN,OFRU,-0.00120218374492338
BL000000,TWIN,TAGR,-0.000401363753797159
BL000000,TWIN,TWIN,0.978025367086299
BL000000,TWIN,WHEA,-0.00122042965873128
BL000000,TWIN,BEEF,-0.00141124954465182
BL000000,TWIN,PORK,-0.00129179941802676
BL000000,TWIN,SGMT,-0.00355109662290798
BL000000,TWIN,EGGS,-0.00264257808018372
BL000000,TWIN,POUM,-0.00155512767076373
BL000000,TWIN,SUGA,-0.00129400504593465
BL000000,TWIN,OTHO,-0.00126662060467015
BL000000,TWIN,MILK,-0.00125459956058508
BL000000,TWIN,INPE,-0.950396429674017
BL000000,WHEA,RYEM,-3.49558083923671e-06
BL000000,WHEA,BARL,-0.000164841608371471
BL000000,WHEA,OATS,-6.44559023747809e-06
BL000000,WHEA,MAIZ,-0.000673877334974712
BL000000,WHEA,OCER,-2.18038980758537e-05
BL000000,WHEA,RAPE,-0.000404454234991424
BL000000,WHEA,PULS,-4.71325745663223e-06
BL000000,WHEA,POTA,-0.00365804209664433
BL000000,WHEA,TEXT,-0.000176548127669593
BL000000,WHEA,TOMA,-0.00176129674834141
BL000000,WHEA,OVEG,-0.00364205038212133
BL000000,WHEA,APPL,-0.000235520531022127
BL000000,WHEA,OFRU,-0.00349029161468072
BL000000,WHEA,TAGR,-2.86722120227298e-05
BL000000,WHEA,TWIN,-0.000100515268004394
BL000000,WHEA,WHEA,0.384941253167432
BL000000,WHEA,BEEF,-0.00621258706877975
BL000000,WHEA,PORK,-0.00511994221908416
BL000000,WHEA,SGMT,-0.000345916425219403
BL000000,WHEA,EGGS,-0.00431048773933608
BL000000,WHEA,POUM,-0.00701102898134739
BL000000,WHEA,SUGA,-0.00108397553131315
BL000000,WHEA,OTHO,-0.00166467710183155
BL000000,WHEA,MILK,-0.00471946649511853
BL000000,WHEA,INPE,-0.340100603119949
BL000000,BEEF,RYEM,-9.71199016377705e-07
BL000000,BEEF,BARL,-5.49656553828699e-05
BL000000,BEEF,OATS,-1.80146207987556e-06
BL000000,BEEF,MAIZ,-0.000280733162895545
BL000000,BEEF,OCER,-6.27135443766916e-06
BL000000,BEEF,RAPE,-0.000152314192112301
BL000000,BEEF,PULS,-1.3150409505079e-06
BL000000,BEEF,POTA,-0.00958975952721872
BL000000,BEEF,TEXT,-5.9470244117948e-05
BL000000,BEEF,TOMA,-0.00102950752360348
BL000000,BEEF,OVEG,-0.00917588186317446
BL000000,BEEF,APPL,-8.19371190453073e-05
BL000000,BEEF,OFRU,-0.00659138601737992
BL000000,BEEF,TAGR,-8.39299878441923e-06
BL000000,BEEF,TWIN,-3.20578003280133e-05
BL000000,BEEF,WHEA,-0.00171349606515018
BL000000,BEEF,BEEF,0.660343543657102
BL000000,BEEF,PORK,-0.0211468326917596
BL000000,BEEF,SGMT,-9.65681335020018e-05
BL000000,BEEF,EGGS,-0.00158640989691388
BL000000,BEEF,POUM,-0.0104678593402997
BL000000,BEEF,SUGA,-0.000503966066160527
BL000000,BEEF,OTHO,-0.000939089129437844
BL000000,BEEF,MILK,-0.0219431948376615
BL000000,BEEF,INPE,-0.57487936233569
BL000000,PORK,RYEM,-5.09530749835063e-07
BL000000,PORK,BARL,-2.5926699366549e-05
BL000000,PORK,OATS,-9.41490634826001e-07
BL000000,PORK,MAIZ,-0.000123219715633427
BL000000,PORK,OCER,-3.21791945161443e-06
BL000000,PORK,RAPE,-6.84601356138356e-05
BL000000,PORK,PULS,-6.8803629111777e-07
BL000000,PORK,POTA,-0.0055811325657692
BL000000,PORK,TEXT,-2.79093527834598e-05
BL000000,PORK,TOMA,-0.000446867813561949
BL000000,PORK,OVEG,-0.00523986201632688
BL000000,PORK,APPL,-3.79075829007892e-05
BL000000,PORK,OFRU,-0.0033758123911684
BL000000,PORK,TAGR,-4.25912343260214e-06
BL000000,PORK,TWIN,-1.54690088001989e-05
BL000000,PORK,WHEA,-0.000744411682363798
BL000000,PORK,BEEF,-0.0111476372084871
BL000000,PORK,PORK,0.5663958279511
BL000000,PORK,SGMT,-5.0560516894407e-05
BL000000,PORK,EGGS,-0.00079726512945179
BL000000,PORK,POUM,-0.00592148890067949
BL000000,PORK,SUGA,-0.00021965066943345
BL000000,PORK,OTHO,-0.000407435583071723
BL000000,PORK,MILK,-0.0243781587770345
BL000000,PORK,INPE,-0.507777036101199
BL000000,SGMT,RYEM,-0.000143043494578461
BL000000,SGMT,BARL,-0.00790546869485406
BL000000,SGMT,OATS,-0.00034462309347211
BL000000,SGMT,MAIZ,-0.00847530114288028
BL000000,SGMT,OCER,-0.00210418250216478
BL000000,SGMT,RAPE,-0.00839927846135159
BL000000,SGMT,PULS,-0.000235981739884462
BL000000,SGMT,POTA,-0.00850086700685393
BL000000,SGMT,TEXT,-0.00797799005409905
BL000000,SGMT,TOMA,-0.00851777777240357
BL000000,SGMT,OVEG,-0.00850129204435949
BL000000,SGMT,APPL,-0.00819045659532465
BL000000,SGMT,OFRU,-0.00850444671376124
BL000000,SGMT,TAGR,-0.00315343338422176
BL000000,SGMT,TWIN,-0.00719126078536043
BL000000,SGMT,WHEA,-0.00850539429576793
BL000000,SGMT,BEEF,-0.00860887657905289
BL000000,SGMT,PORK,-0.00855040433492889
BL000000,SGMT,SGMT,0.8227643640422
BL000000,SGMT,EGGS,-0.00919077286037298
BL000000,SGMT,POUM,-0.00867877524297408
BL000000,SGMT,SUGA,-0.00851015409373326
BL000000,SGMT,OTHO,-0.00851763996010869
BL000000,SGMT,MILK,-0.00853213482205391
BL000000,SGMT,INPE,-0.665524808367637
BL000000,EGGS,RYEM,-7.61854307238933e-06
BL000000,EGGS,BARL,-0.000832535747941382
BL000000,EGGS,OATS,-1.46891088218541e-05
BL000000,EGGS,MAIZ,-0.00401813219486631
BL000000,EGGS,OCER,-6.02386374721773e-05
BL000000,EGGS,RAPE,-0.00241966180407593
BL000000,EGGS,PULS,-1.06060265177486e-05
BL000000,EGGS,POTA,-0.0104988267221218
BL000000,EGGS,TEXT,-0.000915098833606144
BL000000,EGGS,TOMA,-0.00779694209696534
BL000000,EGGS,OVEG,-0.01048455668259
BL000000,EGGS,APPL,-0.00129743758425893
BL000000,EGGS,OFRU,-0.010347444683402
BL000000,EGGS,TAGR,-8.77874318799315e-05
BL000000,EGGS,TWIN,-0.000447674979178749
BL000000,EGGS,WHEA,-0.00886629396278471
BL000000,EGGS,BEEF,-0.011830973991643
BL000000,EGGS,PORK,-0.0112789938880854
BL000000,EGGS,SGMT,-0.000768855061776744
BL000000,EGGS,EGGS,0.792295986017591
BL000000,EGGS,POUM,-0.012304750778425
BL000000,EGGS,SUGA,-0.00576077210392937
BL000000,EGGS,OTHO,-0.00756218012132358
BL000000,EGGS,MILK,-0.0110841538187097
BL000000,EGGS,INPE,-0.673599761214142
BL000000,POUM,RYEM,-1.60426812733994e-06
BL000000,POUM,BARL,-0.000101663528130567
BL000000,POUM,OATS,-2.98941948611813e-06
BL000000,POUM,MAIZ,-0.000549042097034265
BL000000,POUM,OCER,-1.06317393528012e-05
BL000000,POUM,RAPE,-0.000293451825700045
BL000000,POUM,PULS,-2.17935964614007e-06
BL000000,POUM,POTA,-0.0117588288334765
BL000000,POUM,TEXT,-0.000110514033332355
BL000000,POUM,TOMA,-0.00196967752112866
BL000000,POUM,OVEG,-0.0114622829722498
BL000000,POUM,APPL,-0.000154209897317343
BL000000,POUM,OFRU,-0.00931467565883606
BL000000,POUM,TAGR,-1.44073455513619e-05
BL000000,POUM,TWIN,-5.80182291266481e-05
BL000000,POUM,WHEA,-0.00317585671788283
BL000000,POUM,BEEF,-0.0171919996395411
BL000000,POUM,PORK,-0.0184485372505445
BL000000,POUM,SGMT,-0.000159887426487133
BL000000,POUM,EGGS,-0.0027097938197398
BL000000,POUM,POUM,0.711283681857333
BL000000,POUM,SUGA,-0.000982575987399163
BL000000,POUM,OTHO,-0.00180419128208133
BL000000,POUM,MILK,-0.0182875951301005
BL000000,POUM,INPE,-0.61271906787506
BL000000,SUGA,RYEM,-7.24865152066703e-06
BL000000,SUGA,BARL,-0.000360443204959305
BL000000,SUGA,OATS,-1.34092709745417e-05
BL000000,SUGA,MAIZ,-0.00123386636378274
BL000000,SUGA,OCER,-4.603915655215e-05
BL000000,SUGA,RAPE,-0.000828347394641243
BL000000,SUGA,PULS,-9.79641024121006e-06
BL000000,SUGA,POTA,-0.00249860106115443
BL000000,SUGA,TEXT,-0.000385829287333315
BL000000,SUGA,TOMA,-0.00212347811106319
BL000000,SUGA,OVEG,-0.00250005255525585
BL000000,SUGA,APPL,-0.000508925365959869
BL000000,SUGA,OFRU,-0.00250460485128647
BL000000,SUGA,TAGR,-6.10698747947648e-05
BL000000,SUGA,TWIN,-0.000220103719099259
BL000000,SUGA,WHEA,-0.0022386778810835
BL000000,SUGA,BEEF,-0.0037736602838878
BL000000,SUGA,PORK,-0.00312001398214329
BL000000,SUGA,SGMT,-0.000714802867296881
BL000000,SUGA,EGGS,-0.00578411757138723
BL000000,SUGA,POUM,-0.00447980528349423
BL000000,SUGA,SUGA,0.964594819843399
BL000000,SUGA,OTHO,-0.00207618326352852
BL000000,SUGA,MILK,-0.00290828063835066
BL000000,SUGA,INPE,-0.926197462793609
BL000000,OTHO,RYEM,-5.06047091240649e-06
BL000000,OTHO,BARL,-0.000248253289727815
BL000000,OTHO,OATS,-9.3477671214203e-06
BL000000,OTHO,MAIZ,-0.000965786555361295
BL000000,OTHO,OCER,-3.18878205074808e-05
BL000000,OTHO,RAPE,-0.00060180432575246
BL000000,OTHO,PULS,-6.83197169424253e-06
BL000000,OTHO,POTA,-0.0031102416734748
BL000000,OTHO,TEXT,-0.000266140552393807
BL000000,OTHO,TOMA,-0.00209393384498933
BL000000,OTHO,OVEG,-0.00310698036332017
BL000000,OTHO,APPL,-0.000354824579385633
BL000000,OTHO,OFRU,-0.00306646780166651
BL000000,OTHO,TAGR,-4.2144525521323e-05
BL000000,OTHO,TWIN,-0.000150686177601807
BL000000,OTHO,WHEA,-0.00240457092695333
BL000000,OTHO,BEEF,-0.00491817271840713
BL000000,OTHO,PORK,-0.00404779417370436
BL000000,OTHO,SGMT,-0.000500384210637916
