region,BPS,ANC,AES,ORGANIC,COUPLED
FRD2,255.2,122.1,16.5,12.1,0.0
FRE1,262.8,126.9,89.2,202.1,0.0
FRE2,282.2,118.4,51.9,85.3,0.0
FRF1,277.2,98.7,37.4,25.5,0.0
FRF2,276.1,64.8,93.7,65.1,0.0
FRF3,249.6,113.1,15.3,48.4,0.0
FRG0,269.8,116.8,19.6,83.8,0.0
FRH0,277.4,125.1,50.1,38.9,0.0
FRI1,244.9,62.0,13.2,183.0,0.0
FRI2,249.5,85.5,69.4,156.9,0.0
FRI3,252.8,110.9,71.5,199.5,0.0
FRJ1,249.9,53.0,92.8,107.3,0.0
FRJ2,257.1,84.0,66.3,258.0,0.0
FRK1,256.5,121.1,2.5,149.9,0.0
FRK2,271.3,51.5,14.0,113.2,0.0
FRL0,285.4,93.2,93.3,217.2,0.0
FRM0,264.2,109.2,1.8,29.5,0.0
ITC1,311.0,110.2,23.3,143.3,0.0
ITC2,300.4,116.3,60.3,111.4,0.0
ITC3,289.4,78.7,65.2,234.2,0.0
ITC4,293.2,63.6,23.7,201.4,0.0
ITH1,310.3,51.4,6.7,160.5,0.0
ITH2,278.7,112.6,31.0,38.8,0.0
ITH3,315.3,56.6,28.5,41.5,0.0
ITH4,277.2,44.3,5.5,47.2,0.0
ITH5,274.3,92.7,68.1,106.3,0.0
ITI1,286.8,85.4,87.5,229.8,0.0
ITI2,273.8,57.9,23.7,67.3,0.0
ITI3,298.8,77.9,4.9,100.9,0.0
ITI4,296.5,51.1,83.3,14.0,0.0
ITF1,315.5,50.9,84.4,243.7,0.0
ITF2,318.1,110.7,77.9,173.5,0.0
ITF3,308.6,53.9,53.6,138.8,0.0
ITF4,312.3,81.8,38.5,172.7,0.0
ITF5,284.3,54.4,47.8,112.6,0.0
ITF6,282.7,73.7,36.6,88.4,0.0
ITG1,289.7,100.8,29.7,256.2,0.0
ITG2,315.1,83.4,32.8,144.6,0.0
ES11,217.3,98.0,80.4,143.8,0.0
ES12,210.2,67.0,73.5,54.6,0.0
ES13,212.2,115.7,13.2,165.9,0.0
ES21,192.5,104.2,8.4,252.7,0.0
ES22,193.9,124.0,80.1,160.3,0.0
ES23,215.1,110.1,94.6,68.4,0.0
ES24,208.8,50.6,61.6,46.2,0.0
ES30,208.0,91.2,46.6,141.1,0.0
ES41,214.5,110.4,49.2,161.9,0.0
ES42,220.0,52.7,11.7,23.7,0.0
ES43,211.0,78.1,77.4,181.2,0.0
ES51,200.4,118.9,76.3,73.0,0.0
ES52,201.4,69.2,15.8,39.9,0.0
ES53,220.2,79.7,38.3,197.0,0.0
ES61,207.6,122.1,78.0,129.4,0.0
ES62,201.8,126.4,71.8,256.8,0.0
ES63,193.3,114.8,63.7,32.9,0.0
ES64,208.7,100.8,1.2,122.7,0.0
ES70,216.6,67.6,45.9,119.4,0.0
PL21,200.6,120.6,78.1,29.9,0.0
PL22,223.6,117.2,28.4,226.0,0.0
PL31,194.1,127.4,66.6,175.5,0.0
PL32,193.5,118.7,2.9,65.0,0.0
PL33,195.3,108.5,19.8,245.9,0.0
PL34,212.3,45.6,0.5,13.9,0.0
PL41,210.6,110.6,23.9,229.3,0.0
PL42,192.4,110.6,92.8,208.5,0.0
PL43,213.7,113.7,4.0,54.5,0.0
PL51,194.7,85.4,74.5,170.1,0.0
PL52,218.8,55.7,73.5,52.1,0.0
PL61,199.5,102.8,98.0,165.1,0.0
PL62,192.4,94.9,4.2,238.7,0.0
PL63,214.1,57.2,9.2,49.6,0.0
PL71,223.0,81.5,78.4,171.8,0.0
PL72,209.5,54.8,94.6,81.4,0.0
PL81,209.7,102.0,64.9,254.0,0.0
PL82,195.5,85.7,40.4,128.0,0.0
PL84,194.5,53.9,27.8,82.3,0.0
PL91,204.7,94.4,63.5,111.2,0.0
PL92,204.1,61.0,58.8,85.6,0.0
NL11,400.3,78.1,47.4,60.9,0.0
NL12,437.4,90.6,70.2,174.9,0.0
NL13,442.9,69.4,78.7,148.3,0.0
NL21,427.6,95.7,36.1,138.4,0.0
NL22,448.7,117.8,92.1,136.0,0.0
NL23,433.7,110.5,31.4,226.1,0.0
NL31,431.9,52.3,7.2,227.3,0.0
NL32,401.6,66.4,33.4,46.7,0.0
NL33,419.5,105.6,1.5,223.3,0.0
NL34,457.0,74.1,15.4,162.2,0.0
NL41,406.0,73.5,95.8,268.8,0.0
NL42,451.2,68.9,68.8,190.5,0.0
BE10,416.3,97.0,1.1,56.4,0.0
BE21,425.6,56.4,16.6,225.8,0.0
BE22,457.0,89.8,83.9,267.4,0.0
BE23,399.6,80.6,39.3,21.6,0.0
BE24,441.2,79.4,46.9,40.7,0.0
BE25,402.2,119.6,4.5,62.9,0.0
BE31,409.8,84.2,58.6,133.2,0.0
BE32,395.7,63.2,84.4,172.1,0.0
BE33,434.0,99.5,76.3,15.7,0.0
BE34,414.8,88.4,33.8,228.0,0.0
BE35,422.7,107.8,85.2,136.3,0.0
DK01,373.2,92.4,85.0,92.0,0.0
DK02,350.2,87.7,10.5,107.6,0.0
DK03,373.6,96.1,17.8,91.5,0.0
DK04,333.0,44.6,92.7,121.0,0.0
DK05,339.5,93.4,0.7,75.1,0.0
SE11,236.1,96.4,98.2,167.5,0.0
SE12,227.9,107.2,90.3,194.6,0.0
SE21,245.7,109.0,86.7,30.8,0.0
SE22,237.2,79.9,55.3,176.6,0.0
SE23,245.9,126.2,28.8,198.1,0.0
SE31,237.9,72.0,12.4,11.1,0.0
SE32,238.9,84.1,98.6,125.5,0.0
SE33,246.2,77.5,79.4,22.9,0.0
FI19,230.6,110.7,92.5,222.1,0.0
FI1B,211.6,74.2,4.9,29.5,0.0
FI1C,234.9,103.1,77.4,233.7,0.0
FI1D,237.3,110.6,4.9,63.3,0.0
FI20,233.0,115.4,0.5,138.9,0.0
AT11,257.7,45.0,40.1,241.8,0.0
AT12,257.4,62.7,85.3,94.0,0.0
AT13,264.7,67.9,59.0,107.2,0.0
AT21,241.5,117.9,18.8,22.9,0.0
AT22,244.2,103.5,80.7,269.7,0.0
AT31,242.4,77.2,13.7,155.2,0.0
AT32,270.5,102.1,59.5,105.9,0.0
AT33,267.2,84.7,13.4,98.7,0.0
AT34,233.2,59.7,1.8,122.4,0.0
EL30,376.4,71.7,42.0,259.0,0.0
EL41,383.3,88.5,28.5,242.2,0.0
EL42,352.9,70.2,90.9,143.0,0.0
EL43,382.8,92.7,65.3,80.8,0.0
EL51,353.2,69.9,15.5,236.1,0.0
EL52,355.7,90.2,79.2,211.6,0.0
EL53,364.8,83.0,99.5,182.1,0.0
EL54,387.0,119.2,78.8,50.0,0.0
EL61,372.1,51.2,65.3,257.9,0.0
EL62,369.2,79.3,3.6,259.1,0.0
EL63,345.1,46.0,24.6,17.7,0.0
EL64,365.8,86.4,31.3,13.8,0.0
EL65,345.6,75.2,6.1,188.5,0.0
PT11,144.4,68.2,39.4,112.5,0.0
PT15,139.4,52.0,86.3,0.3,0.0
PT16,151.6,84.1,33.3,116.5,0.0
PT17,158.2,114.0,26.0,87.1,0.0
PT18,145.2,83.3,68.3,61.6,0.0
PT20,147.3,121.6,4.9,124.4,0.0
PT30,156.6,55.3,4.7,37.3,0.0
IE04,288.5,43.3,18.8,8.4,0.0
IE05,253.6,95.2,24.2,153.7,0.0
IE06,274.3,114.7,0.5,230.4,0.0
CZ01,251.7,56.3,77.3,231.0,0.0
CZ02,237.2,120.6,45.4,162.9,0.0
CZ03,266.1,73.2,81.3,86.0,0.0
CZ04,258.8,93.6,21.6,111.8,0.0
CZ05,239.8,49.1,3.0,93.5,0.0
CZ06,228.0,56.6,72.5,191.2,0.0
CZ07,256.4,69.5,89.0,160.3,0.0
CZ08,232.2,54.7,69.3,46.7,0.0
HU11,237.2,126.8,0.4,4.5,0.0
HU12,255.6,92.2,12.7,242.3,0.0
HU21,251.3,88.1,62.2,73.8,0.0
HU22,219.9,93.0,29.5,179.2,0.0
HU23,249.7,44.0,59.6,62.4,0.0
HU31,251.1,64.1,61.1,149.5,0.0
HU32,233.0,100.1,72.6,153.1,0.0
HU33,246.7,126.1,41.9,138.9,0.0
RO11,113.4,110.2,52.0,110.1,0.0
RO12,115.0,118.1,39.5,184.3,0.0
RO21,116.0,124.2,17.8,53.9,0.0
RO22,130.0,120.1,21.2,126.8,0.0
RO31,127.5,117.2,37.9,139.6,0.0
RO32,127.7,104.6,78.3,153.9,0.0
RO41,115.2,119.3,86.6,215.5,0.0
RO42,115.1,59.9,74.4,6.2,0.0
BG31,150.3,74.6,71.9,239.6,0.0
BG32,137.3,69.6,60.9,156.9,0.0
BG33,137.6,93.7,93.5,126.3,0.0
BG34,132.9,74.6,39.4,35.4,0.0
BG41,132.1,100.7,33.9,257.8,0.0
BG42,133.9,50.9,75.4,237.9,0.0
SK01,189.8,59.7,18.6,140.9,0.0
SK02,195.8,64.6,4.5,130.0,0.0
SK03,211.3,98.0,49.6,29.9,0.0
SK04,189.0,67.6,76.5,236.7,0.0
HR03,90.7,126.2,98.2,257.3,0.0
HR04,79.4,54.2,30.4,149.3,0.0
HR05,79.7,114.4,61.7,146.4,0.0
HR06,80.7,64.0,16.0,230.0,0.0
SI03,288.9,105.0,29.6,100.2,0.0
SI04,280.8,107.1,77.2,55.8,0.0
LT01,151.4,52.8,89.6,27.1,0.0
LT02,136.1,114.5,17.9,111.7,0.0
LV00,106.8,63.3,71.0,229.9,0.0
EE00,130.5,71.3,53.1,67.1,0.0
LU00,200.0,63.3,16.1,253.8,0.0
CY00,477.3,108.6,51.8,132.5,0.0
MT00,468.3,88.1,43.5,35.6,0.0
NO01,200.0,53.2,95.2,130.1,0.0
NO02,200.0,123.5,16.4,149.7,0.0
NO03,200.0,60.2,25.3,8.1,0.0
NO04,200.0,52.6,91.7,86.8,0.0
NO05,200.0,94.2,46.5,108.1,0.0
NO06,200.0,87.7,18.7,266.9,0.0
NO07,200.0,112.1,74.2,126.6,0.0
